id,name,control_type,feature_type,inactive,make,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1293021642,Frick Park Blue Slide Playground,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Frick_Park_Blue_Slide_Playground.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.43016066,-79.91493036
167218041,Frick Park Bowling Greens 1,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Frick_Park_Bowling_Greens_1.jpg,Point Breeze,9,14,42003981100,3,14,4,3-14,40.44478599,-79.90082169
789253838,Frick Park Bowling Greens 2,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Frick_Park_Bowling_Greens_2.jpg,Point Breeze,9,14,42003981100,3,14,4,3-14,40.44482376,-79.90085855
1179706834,Frick Park Forbes and Braddock,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Frick_Park_Forbes_and_Braddock.jpg,Regent Square,5,14,42003141000,3,14,4,2-16,40.43902128,-79.8984286
1203062975,Frick Park Lederman Field,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Frick_Park_Lederman_Field.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-21,40.42947698,-79.91381462
935394713,Frick Park Lower,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Frick_Park_Lower.jpg,Squirrel Hill South,5,14,42003980300,3,14,4,2-16,40.43310456,-79.90015078
1136382439,Frick Park Tennis Courts,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Frick_Park_Tennis_Courts.jpg,Regent Square,5,14,42003141000,3,14,4,2-16,40.43763741,-79.89807755
1793542714,Frick Parl Forbes and Braddock 2,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Frick_Parl_Forbes_and_Braddock_2.jpg,Regent Square,5,14,42003141000,3,14,4,2-16,40.43883356,-79.89745835
993176474,Friendship Park,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Friendship_Park.jpg,Bloomfield,7,8,42003080900,2,8,5,3-6,40.46269351,-79.94672838
1866589819,Gardner Field,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Gardner_Field.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46172833,-79.98540208
1689634410,Garland Park Drinking,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Garland_Park_Drinking.jpg,East Liberty,9,11,42003111500,2,11,5,3-8,40.46356975,-79.92774923
91938308,Garland Park Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Garland_Park_Spray.jpg,East Liberty,9,11,42003111500,2,11,5,3-8,40.46358933,-79.92780942
1618999333,Grandview Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Grandview_Park.jpg,Allentown,3,18,42003180300,5,18,3,4-5,40.42639643,-79.99668063
2074539814,Grandview Playground,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Grandview_Playground.jpg,Allentown,3,18,42003180300,5,18,3,4-5,40.42480398,-79.99387515
386451477,Granville Park,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Granville_Park.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44444403,-79.98278564
43157305,Hays Park,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Hays_Park.jpg,Hays,5,31,42003562900,3,31,4,4-20,40.38325494,-79.93141484
333164670,Herschel Concession Stand,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Herschel_Concession_Stand.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.44027657,-80.04393116
1588506934,Herschel Field Lower,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Herschel_Field_Lower.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.44001953,-80.04314553
1328526399,Herschel Playground,On/Off,Drinking Fountain,f,Most Dependable,https://tools.wprdc.org/images/pittsburgh/water_features/Herschel_Playground.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.44032904,-80.04335591
88627156,Heth's Park Bocci Court,On/Off,Drinking Fountain,f,Murdock,https://tools.wprdc.org/images/pittsburgh/water_features/Heth's_Park_Bocci_Court.jpg,Morningside,7,10,42003101400,2,10,5,3-7,40.47849719,-79.92807662
822369247,Heth's Playground,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Heth's_Playground.jpg,Morningside,7,10,42003110200,2,10,5,3-9,40.47701559,-79.92804637
1457599280,Heth's Playground Spray,,Spray,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Heth's_Playground_Spray.jpg,Morningside,7,10,42003101400,2,10,5,3-9,40.47694622,-79.92809734
908546516,Highland Park Carnegie Lake,On/Off,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_Carnegie_Lake.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.47998964,-79.91110608
815585822,Highland Park Entrance,Continuous,Drinking Fountain,f,Regular Fountain,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_Entrance.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.4787428,-79.9161988
2041357667,Highland Park Entrance Decor,,Decorative,f,,https://tools.wprdc.org/images/pittsburgh/water_features/Highland_Park_Entrance_Decor.jpg,Highland Park,7,11,42003980100,2,11,5,3-9,40.4793569,-79.91552825
